,genres,movie_title,imdb_score,movie_imdb_link
66,"
Biography, Crime, Drama            ",Goodfellas,8.7,https://www.imdb.com/title/tt0099685
67,"
Action, Adventure, Fantasy            ",Pirates of the Caribbean: The Curse of the Black Pearl,8.1,https://www.imdb.com/title/tt0325980
68,"
Horror, Mystery, Thriller            ",Saw,7.6,https://www.imdb.com/title/tt0387564
69,"
Drama, War            ",All Quiet on the Western Front,8.1,https://www.imdb.com/title/tt0020629
70,"
Drama            ",The Help,8.1,https://www.imdb.com/title/tt1454029
71,"
Drama, Mystery, Thriller            ",The Sixth Sense,8.2,https://www.imdb.com/title/tt0167404
72,"
Action, Drama, War            ",1917,8.2,https://www.imdb.com/title/tt8579674
73,"
Animation, Adventure, Comedy            ",Coco,8.4,https://www.imdb.com/title/tt2380307
74,"
Drama, Fantasy, War            ",Pan's Labyrinth,8.2,https://www.imdb.com/title/tt0457430
75,"
Action, Adventure, Biography            ",Thirteen Lives,7.8,https://www.imdb.com/title/tt12262116
76,"
Crime, Drama            ",Scarface,8.3,https://www.imdb.com/title/tt0086250
77,"
Adventure, Family, Fantasy            ",Harry Potter and the Goblet of Fire,7.7,https://www.imdb.com/title/tt0330373
78,"
Drama, Thriller            ",Black Swan,8.0,https://www.imdb.com/title/tt0947798
79,"
Action, Adventure, Comedy            ",Guardians of the Galaxy,8.0,https://www.imdb.com/title/tt2015381
80,"
Drama, Romance            ",Call Me by Your Name,7.8,https://www.imdb.com/title/tt5726616
81,"
Crime, Drama, Thriller            ",No Country for Old Men,8.2,https://www.imdb.com/title/tt0477348
82,"
Drama, Mystery, Sci-Fi            ",Donnie Darko,8.0,https://www.imdb.com/title/tt0246578
83,"
Drama, Mystery, Sci-Fi            ",The Prestige,8.5,https://www.imdb.com/title/tt0482571
84,"
Action, Adventure, Comedy            ",Deadpool,8.0,https://www.imdb.com/title/tt1431045
85,"
Comedy, Crime            ",The Big Lebowski,8.1,https://www.imdb.com/title/tt0118715
86,"
Crime, Drama            ",Taxi Driver,8.2,https://www.imdb.com/title/tt0075314
87,"
Drama, Romance            ",Little Women,7.8,https://www.imdb.com/title/tt3281548
88,"
Comedy, Drama, War            ",Jojo Rabbit,7.9,https://www.imdb.com/title/tt2584384
89,"
Drama            ",Requiem for a Dream,8.3,https://www.imdb.com/title/tt0180093
90,"
Action, Adventure, Comedy            ",Deadpool 2,7.7,https://www.imdb.com/title/tt5463162
91,"
Drama, Romance, Thriller            ",The Handmaiden,8.1,https://www.imdb.com/title/tt4016934
92,"
Adventure, Drama            ",Stand by Me,8.1,https://www.imdb.com/title/tt0092005
93,"
Action, Adventure, Fantasy            ",Star Wars: Episode IV - A New Hope,8.6,https://www.imdb.com/title/tt0076759
94,"
Action, Drama, Mystery            ",Sita Ramam,8.5,https://www.imdb.com/title/tt20850406
95,"
Drama            ",One Flew Over the Cuckoo's Nest,8.7,https://www.imdb.com/title/tt0073486
96,"
Drama, Romance, Sci-Fi            ",Eternal Sunshine of the Spotless Mind,8.3,https://www.imdb.com/title/tt0338013
97,"
Crime, Thriller            ",Ocean's Eleven,7.7,https://www.imdb.com/title/tt0240772
98,"
Adventure, Family, Fantasy            ",The Princess Bride,8.0,https://www.imdb.com/title/tt0093779
99,"
Drama, Horror            ",Rosemary's Baby,8.0,https://www.imdb.com/title/tt0063522
100,"
Action, Adventure, Sci-Fi            ",Avengers: Infinity War,8.4,https://www.imdb.com/title/tt4154756
101,"
Adventure, Comedy, Crime            ",The Grand Budapest Hotel,8.1,https://www.imdb.com/title/tt2278388
102,"
Crime, Drama            ",12 Angry Men,9.0,https://www.imdb.com/title/tt0050083
103,"
Comedy, Drama, Romance            ",The Worst Person in the World,7.8,https://www.imdb.com/title/tt10370710
104,"
Comedy, Crime, Drama            ","Three Billboards Outside Ebbing, Missouri",8.1,https://www.imdb.com/title/tt5027774
105,"
Crime, Drama            ",The Godfather Part II,9.0,https://www.imdb.com/title/tt0071562
106,"
Crime, Drama, Fantasy            ",The Green Mile,8.6,https://www.imdb.com/title/tt0120689
107,"
Action, Drama, Mystery            ",Oldboy,8.4,https://www.imdb.com/title/tt0364569
108,"
Adventure, Thriller            ",Jaws,8.1,https://www.imdb.com/title/tt0073195
109,"
Drama, Romance            ",Good Will Hunting,8.3,https://www.imdb.com/title/tt0119217
110,"
Action, Crime, Drama            ",Heat,8.3,https://www.imdb.com/title/tt0113277
111,"
Action, Adventure, Sci-Fi            ",Iron Man,7.9,https://www.imdb.com/title/tt0371746
112,"
Adventure, Family, Sci-Fi            ",E.T. the Extra-Terrestrial,7.9,https://www.imdb.com/title/tt0083866
113,"
Adventure, Family, Fantasy            ",Harry Potter and the Deathly Hallows: Part 2,8.1,https://www.imdb.com/title/tt1201607
114,"
Comedy, Drama, Fantasy            ",About Time,7.8,https://www.imdb.com/title/tt2194499
115,"
Drama, Fantasy, Horror            ",Let the Right One In,7.9,https://www.imdb.com/title/tt1139797
116,"
Comedy, Drama, Music            ",CODA,8.0,https://www.imdb.com/title/tt10366460
117,"
Comedy, Family            ",Home Alone,7.7,https://www.imdb.com/title/tt0099785
118,"
Action, Drama            ",The Dark Knight Rises,8.4,https://www.imdb.com/title/tt1345836
119,"
Action, Adventure, Sci-Fi            ",The Avengers,8.0,https://www.imdb.com/title/tt0848228
120,"
Drama, Mystery, Thriller            ",Gone Girl,8.1,https://www.imdb.com/title/tt2267998
121,"
Drama, Romance            ",The Notebook,7.8,https://www.imdb.com/title/tt0332280
122,"
Action, Drama, History            ",Black Hawk Down,7.7,https://www.imdb.com/title/tt0265086
123,"
Action, Adventure, Thriller            ",Casino Royale,8.0,https://www.imdb.com/title/tt0381061
124,"
Adventure, Sci-Fi            ",2001: A Space Odyssey,8.3,https://www.imdb.com/title/tt0062622
125,"
Drama, Mystery, Thriller            ",Mulholland Drive,7.9,https://www.imdb.com/title/tt0166924
126,"
Crime, Drama, Mystery            ",The Usual Suspects,8.5,https://www.imdb.com/title/tt0114814
127,"
Drama, Romance            ",Pride & Prejudice,7.8,https://www.imdb.com/title/tt0414387
128,"
Drama, Horror, Sci-Fi            ",The Fly,7.6,https://www.imdb.com/title/tt0091064
129,"
Action, Adventure, Sci-Fi            ",Mad Max: Fury Road,8.1,https://www.imdb.com/title/tt1392190
130,"
Comedy, Family            ",A Christmas Story,7.9,https://www.imdb.com/title/tt0085334
131,"
Adventure, Family, Fantasy            ",Harry Potter and the Prisoner of Azkaban,7.9,https://www.imdb.com/title/tt0304141
132,"
Adventure, Family, Fantasy            ",Stardust,7.6,https://www.imdb.com/title/tt0486655
133,"
Comedy, Crime            ",Snatch,8.2,https://www.imdb.com/title/tt0208092
134,"
Drama, Mystery, War            ",Apocalypse Now,8.5,https://www.imdb.com/title/tt0078788
135,"
Drama, Romance, Sci-Fi            ",Her,8.0,https://www.imdb.com/title/tt1798709
136,"
Biography, Drama, History            ",Braveheart,8.4,https://www.imdb.com/title/tt0112573
137,"
Animation, Adventure, Family            ",Spirited Away,8.6,https://www.imdb.com/title/tt0245429
138,"
Action, Biography, Drama            ",Ford v Ferrari,8.1,https://www.imdb.com/title/tt1950186
139,"
Drama, War            ",Saving Private Ryan,8.6,https://www.imdb.com/title/tt0120815
140,"
Action, Adventure, Sci-Fi            ",Aliens,8.4,https://www.imdb.com/title/tt0090605
141,"
Action, Drama, Sci-Fi            ",Blade Runner,8.1,https://www.imdb.com/title/tt0083658
142,"
Comedy, Drama            ",The Breakfast Club,7.8,https://www.imdb.com/title/tt0088847
143,"
Action, Adventure, Comedy            ",Kingsman: The Secret Service,7.7,https://www.imdb.com/title/tt2802144
144,"
Animation, Adventure, Drama            ",The Lion King,8.5,https://www.imdb.com/title/tt0110357
145,"
Adventure, Fantasy            ",The Hobbit: The Desolation of Smaug,7.8,https://www.imdb.com/title/tt1170358
146,"
Mystery, Thriller            ",Memento,8.4,https://www.imdb.com/title/tt0209144
147,"
Action, Drama            ",Drive,7.8,https://www.imdb.com/title/tt0780504
148,"
Biography, Drama, History            ",Hacksaw Ridge,8.1,https://www.imdb.com/title/tt2119532
149,"
Comedy            ",The Hangover,7.7,https://www.imdb.com/title/tt1119646
150,"
Action, Crime, Drama            ",Batman Begins,8.2,https://www.imdb.com/title/tt0372784
151,"
Drama            ",The Hunt,8.3,https://www.imdb.com/title/tt2106476
