,movie_title,year,certificate,time_minute,genres,imdb_score,movie_imdb_link,metascore,vote
51,Whiplash,2014,R,106,"
Drama, Music            ",8.5,https://www.imdb.com/title/tt2582802,88,849286
52,The Lord of the Rings: The Two Towers,2002,PG-13,179,"
Action, Adventure, Drama            ",8.8,https://www.imdb.com/title/tt0167261,87,1655188
53,Schindler's List,1993,R,195,"
Biography, Drama, History            ",9.0,https://www.imdb.com/title/tt0108052,94,1346554
54,Shutter Island,2010,R,138,"
Mystery, Thriller            ",8.2,https://www.imdb.com/title/tt1130884,63,1301447
55,The Departed,2006,R,151,"
Crime, Drama, Thriller            ",8.5,https://www.imdb.com/title/tt0407887,85,1316723
56,Jurassic Park,1993,PG-13,127,"
Action, Adventure, Sci-Fi            ",8.2,https://www.imdb.com/title/tt0107290,68,983324
57,Léon: The Professional,1994,R,110,"
Action, Crime, Drama            ",8.5,https://www.imdb.com/title/tt0110413,64,1153744
58,Young Frankenstein,1974,PG,106,"
Comedy            ",8.0,https://www.imdb.com/title/tt0072431,80,159111
59,Psycho,1960,R,109,"
Horror, Mystery, Thriller            ",8.5,https://www.imdb.com/title/tt0054215,97,669158
60,Kick-Ass,2010,R,117,"
Action, Comedy, Crime            ",7.6,https://www.imdb.com/title/tt1250777,66,562784
61,A Clockwork Orange,1971,R,136,"
Crime, Sci-Fi            ",8.3,https://www.imdb.com/title/tt0066921,77,826645
62,The Hobbit: An Unexpected Journey,2012,PG-13,169,"
Adventure, Fantasy            ",7.8,https://www.imdb.com/title/tt0903624,58,826170
63,The Matrix,1999,R,136,"
Action, Sci-Fi            ",8.7,https://www.imdb.com/title/tt0133093,73,1900021
64,Prisoners,2013,R,153,"
Crime, Drama, Mystery            ",8.1,https://www.imdb.com/title/tt1392214,70,705855
65,Django Unchained,2012,R,165,"
Drama, Western            ",8.4,https://www.imdb.com/title/tt1853728,81,1539886
66,Goodfellas,1990,R,145,"
Biography, Crime, Drama            ",8.7,https://www.imdb.com/title/tt0099685,90,1151903
67,Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,143,"
Action, Adventure, Fantasy            ",8.1,https://www.imdb.com/title/tt0325980,63,1121812
68,Saw,2004,R,103,"
Horror, Mystery, Thriller            ",7.6,https://www.imdb.com/title/tt0387564,46,421999
69,All Quiet on the Western Front,1930,Passed,152,"
Drama, War            ",8.1,https://www.imdb.com/title/tt0020629,91,62445
70,The Help,2011,PG-13,146,"
Drama            ",8.1,https://www.imdb.com/title/tt1454029,62,458682
71,The Sixth Sense,1999,PG-13,107,"
Drama, Mystery, Thriller            ",8.2,https://www.imdb.com/title/tt0167404,64,988431
72,1917,2019,R,119,"
Action, Drama, War            ",8.2,https://www.imdb.com/title/tt8579674,78,581159
73,Coco,2017,PG,105,"
Animation, Adventure, Comedy            ",8.4,https://www.imdb.com/title/tt2380307,81,501945
74,Pan's Labyrinth,2006,R,118,"
Drama, Fantasy, War            ",8.2,https://www.imdb.com/title/tt0457430,98,667490
